fn,L,rho0,kd,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,seed,dx,dz,dtmin
94,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
95,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
96,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
97,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
98,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
99,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
100,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
101,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
102,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
103,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
104,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
105,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
106,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
107,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
108,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
109,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
110,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
111,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
112,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
113,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
114,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
115,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
116,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
117,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
118,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
119,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
120,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,1.0,0.01,0.01,0.01
121,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
122,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
123,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
124,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
125,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
126,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
127,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
128,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
129,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
130,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
131,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
132,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,1.0,0.01,0.01,0.01
133,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
134,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
135,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
136,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
137,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
138,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
139,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
140,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
141,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
142,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
143,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
144,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,20.0,26.666666666666668,1.0,0.0001,1.0,0.01,0.01,0.01
