x,ya,yb,yc,yd
2.5700000000000003,8.071,2.1365,1.0,1.0
2.58,8.0835,2.1375,1.0,1.0
2.5900000000000003,8.096,2.1385,1.0,1.0
2.5999999999999996,8.109,2.1395,1.0,1.0
2.61,8.122499999999999,2.141,1.0,1.0
2.62,8.1365,2.142,1.0,1.0
2.63,8.151,2.1435,1.0,1.0
2.64,8.166,2.1445,1.0,1.0
2.65,8.181000000000001,2.146,1.0,1.0
2.66,8.197,2.1475,1.0,1.0
2.6700000000000004,8.213000000000001,2.149,1.0,1.0
2.6799999999999997,8.23,2.1505,1.0,1.0
2.69,8.247,2.1525,1.0,1.0
2.6999999999999997,8.265,2.154,1.0,1.0
2.71,8.283000000000001,2.1559999999999997,1.0,1.0
2.72,8.3015,2.158,1.0,1.0
2.73,8.321,2.16,1.0,1.0
2.74,8.341000000000001,2.162,1.0,1.0
2.75,8.361,2.1639999999999997,1.0,1.0
2.76,8.382,2.1665,1.0,1.0
2.77,8.403500000000001,2.1685,1.0,1.0
2.78,8.4255,2.1710000000000003,1.0,1.0
2.79,8.4485,2.1734999999999998,1.0,1.0
2.8,8.471499999999999,2.176,1.0,1.0
2.81,8.4955,2.1785,1.0,1.0
2.8200000000000003,8.52,2.1814999999999998,1.0,1.0
2.83,8.5455,2.1845,1.0,1.0
2.84,8.5715,2.1870000000000003,1.0,1.0
2.8499999999999996,8.597999999999999,2.1905,1.0,1.0
2.86,8.625,2.1935000000000002,1.0,1.0
2.87,8.652999999999999,2.1965,1.0,1.0
2.88,8.682,2.2,1.0,1.0
2.89,8.711500000000001,2.2035,1.0,1.0
2.9000000000000004,8.7415,2.207,1.0,1.0
2.9099999999999997,8.7725,2.2104999999999997,1.0,1.0
2.92,8.8045,2.2145,1.0,1.0
2.9299999999999997,8.837,2.218,1.0,1.0
2.94,8.8705,2.222,1.0,1.0
2.95,8.905000000000001,2.2264999999999997,1.0,1.0
2.96,8.940000000000001,2.2305,1.0,1.0
2.97,8.9765,2.2350000000000003,1.0,1.0
2.9800000000000004,9.0135,2.2395,1.0,1.0
2.9899999999999998,9.0515,2.2439999999999998,1.0,1.0
3.0,9.0905,2.249,1.0,1.0
3.01,9.1305,2.2535,1.0,1.0
3.02,9.172,2.259,1.0,1.0
3.0300000000000002,9.214,2.2640000000000002,1.0,1.0
3.04,9.2575,2.2695,1.0,1.0
3.0500000000000003,9.302,2.275,1.0,1.0
3.06,9.3475,2.2805,1.0,1.0
3.07,9.394,2.2865,1.0,1.0
3.08,9.4425,2.2925,1.0,1.0
3.09,9.4915,2.2984999999999998,1.0,1.0
3.1,9.5425,2.3049999999999997,1.0,1.0
3.11,9.5945,2.3115,1.0,1.0
3.12,9.648,2.3185000000000002,1.0,1.0
3.1300000000000003,9.703,2.3255,1.0,1.0
3.14,9.7595,2.3325,1.0,1.0
3.15,9.8175,2.34,1.0,1.0
3.1599999999999997,9.877,2.3475,1.0,1.0
3.17,9.9385,2.3555,1.0,1.0
3.18,10.001,2.3635,1.0,1.0
3.19,10.066,2.3715,1.0,1.0
3.2,10.1325,2.38,1.0,1.0
3.21,10.201,2.3890000000000002,1.0,1.0
3.2199999999999998,10.2715,2.3979999999999997,1.0,1.0
