coli,colx,coly,colz,colN,colG3,colG4
283,4,6,1,252.0,0.4291837888435624,0.64036189691653
284,4,6,2,274.0,0.3907472067193534,0.6918239104497544
285,4,6,3,274.0,0.26293713227494425,0.7949223148720672
286,4,6,4,0.0,-1.0,-1.0
287,4,6,5,0.0,-1.0,-1.0
288,4,6,6,0.0,-1.0,-1.0
289,4,7,1,290.0,0.4790946632870273,0.6219106968626751
290,4,7,2,258.0,0.38273826500228336,0.6936221150835159
291,4,7,3,252.0,0.23734490855100565,0.8245796929867234
292,4,7,4,0.0,-1.0,-1.0
293,4,7,5,0.0,-1.0,-1.0
294,4,7,6,0.0,-1.0,-1.0
295,4,8,1,290.0,0.43220962001062396,0.6449454637118586
296,4,8,2,300.0,0.37885801415590376,0.6899655832696086
297,4,8,3,278.0,0.24517012492633247,0.7648477652524148
298,4,8,4,0.0,-1.0,-1.0
299,4,8,5,0.0,-1.0,-1.0
300,4,8,6,-1.0,-1.0,-1.0
301,4,9,1,290.0,0.33862859106096643,0.7410037059173548
302,4,9,2,306.0,0.3852500303703597,0.6991795133885997
303,4,9,3,315.0,0.2958230051401985,0.7078432583622287
304,4,9,4,0.0,-1.0,-1.0
305,4,9,5,-1.0,-1.0,-1.0
306,4,9,6,-1.0,-1.0,-1.0
307,4,10,1,306.0,0.37183810783259225,0.7283916146467386
308,4,10,2,268.0,0.307838966929199,0.7642886523159588
309,4,10,3,310.0,0.2848066887578462,0.6777405819981266
310,4,10,4,0.0,-1.0,-1.0
311,4,10,5,-1.0,-1.0,-1.0
312,4,10,6,-1.0,-1.0,-1.0
313,4,11,1,274.0,0.3681018659653376,0.7137218124191806
314,4,11,2,266.0,0.34281603560692653,0.7376496273833288
315,4,11,3,324.0,0.2865732120195633,0.6291294766024782
316,4,11,4,0.0,-1.0,-1.0
317,4,11,5,-1.0,-1.0,-1.0
318,4,11,6,-1.0,-1.0,-1.0
319,4,12,1,292.0,0.3344298114850357,0.7431025980288927
320,4,12,2,264.0,0.32494265878242656,0.7371858805188599
321,4,12,3,285.0,0.3954186507795482,0.5066212758940541
322,4,12,4,0.0,-1.0,-1.0
323,4,12,5,-1.0,-1.0,-1.0
324,4,12,6,-1.0,-1.0,-1.0
325,4,13,1,296.0,0.3577498461086,0.7516022484328855
326,4,13,2,276.0,0.27144733901767976,0.818451318533939
327,4,13,3,65.0,0.4086548178323616,0.45871266510273867
328,4,13,4,-1.0,-1.0,-1.0
329,4,13,5,-1.0,-1.0,-1.0
330,4,13,6,-1.0,-1.0,-1.0
331,4,14,1,278.0,0.3238495532167316,0.7484151980058059
332,4,14,2,276.0,0.32457240372245094,0.7540865827810481
333,4,14,3,63.0,0.4267725658247782,0.42692505894485977
334,4,14,4,-1.0,-1.0,-1.0
335,4,14,5,-1.0,-1.0,-1.0
336,4,14,6,-1.0,-1.0,-1.0
337,5,1,1,268.0,0.4466707528784799,0.6456212409123727
338,5,1,2,246.0,0.536304891539554,0.5329797836918294
339,5,1,3,198.0,0.6578968660775826,0.3693870750587016
340,5,1,4,16.0,-1.0,-1.0
341,5,1,5,10.0,-1.0,-1.0
342,5,1,6,2.0,-1.0,-1.0
343,5,2,1,248.0,0.3815983119306433,0.6981019614019579
344,5,2,2,278.0,0.4442438087191507,0.6502357682336313
345,5,2,3,234.0,0.34614338936325584,0.7547899788790098
346,5,2,4,240.0,0.37626189574086294,0.664400337798854
347,5,2,5,270.0,0.2317501766729111,0.7903055661964399
348,5,2,6,0.0,-1.0,-1.0
349,5,3,1,236.0,0.38478785463816834,0.6893017246603232
350,5,3,2,268.0,0.46762140545825304,0.6013511527468103
351,5,3,3,290.0,0.4025263194920847,0.6935185008463925
352,5,3,4,256.0,0.3583017392490782,0.7037550494766758
