x,ya,yb,yc,yd
2.54,8.828,2.2720000000000002,1.0,1.0
2.55,8.843499999999999,2.2735000000000003,1.0,1.0
2.56,8.859,2.275,1.0,1.0
2.5700000000000003,8.875499999999999,2.2765,1.0,1.0
2.58,8.892,2.2785,1.0,1.0
2.5900000000000003,8.909500000000001,2.2800000000000002,1.0,1.0
2.5999999999999996,8.927,2.282,1.0,1.0
2.61,8.9455,2.284,1.0,1.0
2.62,8.964,2.286,1.0,1.0
2.63,8.9835,2.2880000000000003,1.0,1.0
2.64,9.0035,2.2904999999999998,1.0,1.0
2.65,9.024,2.2925,1.0,1.0
2.66,9.045,2.295,1.0,1.0
2.6700000000000004,9.0665,2.2975000000000003,1.0,1.0
2.6799999999999997,9.0885,2.3,1.0,1.0
2.69,9.1115,2.3025,1.0,1.0
2.6999999999999997,9.135,2.3049999999999997,1.0,1.0
2.71,9.159,2.308,1.0,1.0
2.72,9.1835,2.311,1.0,1.0
2.73,9.209,2.314,1.0,1.0
2.74,9.235,2.317,1.0,1.0
2.75,9.262,2.3205,1.0,1.0
2.76,9.2895,2.3235,1.0,1.0
2.77,9.3175,2.327,1.0,1.0
2.78,9.3465,2.3305,1.0,1.0
2.79,9.376,2.334,1.0,1.0
2.8,9.4065,2.338,1.0,1.0
2.81,9.4375,2.342,1.0,1.0
2.8200000000000003,9.4695,2.346,1.0,1.0
2.83,9.5025,2.35,1.0,1.0
2.84,9.536,2.354,1.0,1.0
2.8499999999999996,9.571,2.3585000000000003,1.0,1.0
2.86,9.606,2.363,1.0,1.0
2.87,9.6425,2.3674999999999997,1.0,1.0
2.88,9.68,2.3725,1.0,1.0
2.89,9.718,2.377,1.0,1.0
2.9000000000000004,9.757,2.3819999999999997,1.0,1.0
2.9099999999999997,9.7975,2.3875,1.0,1.0
2.92,9.8385,2.3925,1.0,1.0
2.9299999999999997,9.881,2.3979999999999997,1.0,1.0
2.94,9.924,2.404,1.0,1.0
2.95,9.9685,2.4095,1.0,1.0
2.96,10.014,2.4154999999999998,1.0,1.0
2.97,10.061,2.4219999999999997,1.0,1.0
2.9800000000000004,10.109,2.428,1.0,1.0
2.9899999999999998,10.158,2.4345,1.0,1.0
3.0,10.2085,2.4415,1.0,1.0
3.01,10.2605,2.448,1.0,1.0
3.02,10.3135,2.455,1.0,1.0
3.0300000000000002,10.368,2.4625,1.0,1.0
3.04,10.424,2.4699999999999998,1.0,1.0
3.0500000000000003,10.4815,2.4775,1.0,1.0
3.06,10.5405,2.4855,1.0,1.0
3.07,10.6015,2.4939999999999998,1.0,1.0
3.08,10.6635,2.502,1.0,1.0
3.09,10.7275,2.511,1.0,1.0
3.1,10.793,2.5195,1.0,1.0
3.11,10.8605,2.529,1.0,1.0
3.12,10.9295,2.5380000000000003,1.0,1.0
3.1300000000000003,11.001,2.548,1.0,1.0
3.14,11.074,2.558,1.0,1.0
3.15,11.1495,2.568,1.0,1.0
3.1599999999999997,11.2265,2.5785,1.0,1.0
3.17,11.306,2.5895,1.0,1.0
3.18,11.388,2.601,1.0,1.0
3.19,11.472,2.6125,1.004,1.0
3.2,11.559,2.6245000000000003,1.009,1.0
3.21,11.648,2.6365,1.014,1.0
3.2199999999999998,11.74,2.6494999999999997,1.019,1.0
3.23,11.8345,2.6625,1.025,1.0
3.2399999999999998,11.9315,2.676,1.031,1.0
3.25,12.032,2.6895,1.037,1.0
3.26,12.1355,2.7039999999999997,1.043,1.0
3.27,12.2425,2.7190000000000003,1.05,1.0
3.2800000000000002,12.3525,2.734,1.056,1.0
3.29,12.466,2.75,1.063,1.0
3.3,12.583,2.7664999999999997,1.071,1.0
3.3099999999999996,12.704,2.783,1.078,1.0
3.32,12.829,2.8005,1.086,1.0
3.33,12.958,2.8185000000000002,1.094,1.0
3.34,13.0915,2.8375,1.103,1.0
3.35,13.2295,2.8565,1.112,1.0
3.3600000000000003,13.3725,2.877,1.121,1.0
3.37,-0.5,2.8975,1.13,1.0
3.38,-0.5,2.919,1.14,1.0
3.3899999999999997,-0.5,2.9415,1.15,1.0
3.4,-0.5,2.9645,1.161,1.0
3.41,-0.5,2.9885,1.172,1.0
3.42,-0.5,3.0135,1.184,1.0
3.43,-0.5,3.0395,1.196,1.0
3.4400000000000004,-0.5,3.0665,1.209,1.0
3.45,-0.5,3.0945,1.222,1.0
3.46,-0.5,3.1235,1.236,1.0
3.4699999999999998,-0.5,3.154,1.25,1.0
3.48,-0.5,3.1855,1.265,1.0
3.49,-0.5,3.2185,1.281,1.0
3.5,-0.5,3.253,1.298,1.0
3.5100000000000002,-0.5,3.289,1.315,1.0
3.52,-0.5,3.327,1.333,1.0
3.5300000000000002,-0.5,3.3665,1.352,1.0
3.54,-0.5,3.4075,1.372,1.0
3.55,-0.5,3.451,1.393,1.0
3.56,-0.5,3.4965,1.415,1.0
3.57,-0.5,3.544,1.439,1.0
3.58,-0.5,3.594,1.463,1.0
3.5900000000000003,-0.5,3.647,1.489,1.0
3.6,-0.5,3.7025,1.516,1.0
3.61,-0.5,3.7615,1.545,1.0
3.6199999999999997,-0.5,3.8235,1.576,1.0
3.63,-0.5,3.889,1.608,1.0
3.64,-0.5,3.9585,1.643,1.0
3.65,-0.5,4.032500000000001,1.679,1.0
3.66,-0.5,4.111000000000001,1.718,1.0
