r,transport,diffusive,turnover
0.835,-0.11564968269709092,0.00740728589504627,0.1156496826972625
0.845,-0.09804599628211493,0.007766753084654781,0.09804599628287225
0.855,-0.08053278322368469,0.008096510636625106,0.08053278322430524
0.865,-0.06313711962094855,0.008396797477218424,0.06313711962199986
0.875,-0.04588709476628847,0.008667959749790455,0.04588709476691932
0.885,-0.028811744767514035,0.008910445912700252,0.028811744768000302
0.895,-0.011940971879000162,0.009124800915839828,0.011940971880177731
0.905,0.00469455110019831,0.009311659507641639,-0.00469455110173711
0.915,0.021063491843052295,0.009471738736929263,-0.02106349184451628
0.925,0.037133985131813964,0.00960582965954409,-0.03713398513376376
0.935,0.052873775211693924,0.009714788358452714,-0.052873775212488594
0.9450000000000001,0.06825037357064664,0.009799526278698378,-0.06825037357016228
0.9550000000000001,0.08323123167153049,0.00986099996721772,-0.08323123167277013
0.965,0.09778392783785644,0.009900200306668773,-0.09778392783775569
0.975,0.11187636716100038,0.009918141299709788,-0.11187636716171845
0.985,0.12547699310749558,0.009915848566321479,-0.12547699310855864
0.995,0.1385550090857545,0.009894347659036197,-0.13855500908740992
1.0050000000000001,0.15108060807910662,0.009854652420036872,-0.15108060808222135
1.0150000000000001,0.16302520814897287,0.00979775357145304,-0.1630252081477812
1.025,0.17436169137190377,0.009724607748277006,-0.1743616913718593
1.035,0.18506464371738315,0.009636127332730811,-0.1850646437195369
1.045,0.1951105930315539,0.009533171293686023,-0.1951105930308905
1.055,0.20447824232414605,0.009416537358290586,-0.20447824232270317
1.065,0.21314869546747572,0.009286955867522689,-0.21314869546905313
1.075,0.2211056722796046,0.009145085535847674,-0.22110567227923372
1.085,0.2283357099771315,0.008991511385379687,-0.2283357099794181
1.095,0.23482834810070982,0.008826745143339742,-0.23482834810204856
1.105,0.24057629382017495,0.008651228146981976,-0.24057629381899703
1.115,0.24557556481039164,0.008465336953202295,-0.24557556481012655
1.125,0.24982560683292201,0.008269391622181928,-0.2498256068341287
1.135,0.2533293832774104,0.008063666581772603,-0.25332938327843446
1.145,0.25609343411715557,0.00784840394593356,-0.2560934341147758
1.155,0.2581279018689619,0.0076238289761347946,-0.25812790186700796
1.165,0.25944652243706795,0.007390167339786514,-0.25944652243883204
1.175,0.2600665789623482,0.0071476636704198475,-0.2600665789610235
1.185,0.26000881719789776,0.006896600836919867,-0.2600088171970183
1.195,0.25929732150179474,0.00663731933805904,-0.2592973215051253
1.205,0.25795935091771954,0.0063702360217079874,-0.2579593509167466
1.215,0.2560251355418954,0.006095861346891938,-0.25602513554185524
1.225,0.25352763424298297,0.005814814485644015,-0.25352763424220215
1.235,0.2505022553431775,0.005527835344176187,-0.250502255342836
1.245,0.24698654302710665,0.00523579285820583,-0.24698654302383383
1.2550000000000001,0.24301983295147195,0.004939688818413749,-0.24301983295160645
1.2650000000000001,0.23864288164085837,0.004640656805832158,-0.23864288163623182
1.2750000000000001,0.23389747488637783,0.004339955723301296,-0.23389747488469892
1.285,0.22882602152253706,0.00403895795001685,-0.22882602151969023
1.295,0.223471139227659,0.0037391320074951994,-0.22347113922731032
1.305,0.21787523991259725,0.003442020247849835,-0.21787523991059654
1.315,0.21208012224057698,0.0031492120202502487,-0.212080122238123
1.325,0.20612657914470953,0.0028623132496880866,-0.20612657914120147
1.335,0.20005402784331386,0.0025829134361758585,-0.20005402784046056
1.345,0.19390016952294964,0.0023125513435405995,-0.1939001695192233
1.355,0.18770068504965903,0.002052680681488207,-0.18770068504673998
1.365,0.18148897221368715,0.0018046372316531006,-0.18148897221094695
1.375,0.17529592876427413,0.001569608724882919,-0.17529592876071032
1.385,0.16914978425090688,0.001348608738188496,-0.1691497842488332
1.395,0.16307598227090478,0.0011424556889053522,-0.1630759822674388
1.405,0.15709711323489306,0.0009517577053962736,-0.15709711323169007
1.415,0.1512328964569483,0.0007769039536206464,-0.15123289645432747
1.425,0.14550020894843668,0.0006180625865512105,-0.1455002089473867
1.435,0.1399131572216606,0.0004751852432418943,-0.1399131572185608
1.445,0.1344831873595896,0.00034801765020026684,-0.1344831873579444
1.455,0.1292192279673939,0.00023611571567484606,-0.1292192279651483
1.465,0.12412785995958395,0.0001388661333444309,-0.12412785995932651
1.475,0.11921350706028296,5.551053484503066e-5,-0.119213507058612
1.485,0.11447864070636223,-1.4828020064689911e-5,-0.11447864070517899
1.495,0.10992399341973541,-7.311728313161593e-5,-0.10992399341669623
1.5050000000000001,0.10554877493833376,-0.00012038797921572109,-0.10554877493713977
1.5150000000000001,0.10135088611487413,-0.00015770681487507838,-0.10135088611185394
1.5250000000000001,0.09732712608406664,-0.0001861512833487021,-0.09732712608336636
1.5350000000000001,0.09347338913422283,-0.0002067868651392853,-0.09347338912999326
1.545,0.08978484825642606,-0.00022064724991842504,-0.08978484825251876
1.555,0.08625612337919565,-0.00022871776990993854,-0.08625612337584965
1.565,0.0828814327709446,-0.00023192230301452007,-0.08288143276756199
1.575,0.07965472695370004,-0.00023111356157337203,-0.0796547269502601
1.585,0.07656980498487813,-0.0002270666269886046,-0.07656980498247035
1.595,0.07362041348987021,-0.00022047546392016442,-0.07362041348808357
1.605,0.07080032922742194,-0.00021195207964436096,-0.07080032922434643
1.615,0.06810342629144808,-0.00020202793929385905,-0.06810342628952415
1.625,0.0655237293047839,-0.00019115719075724508,-0.06552372930230921
1.635,0.0630554540187532,-0.00017972133755408945,-0.06305545401798396
1.645,0.06069303691238243,-0.00016803490201139,-0.06069303690989014
1.655,0.058431155253280624,-0.00015635178249936375,-0.05843115525069553
1.665,0.056264739174242434,-0.00014487191916116965,-0.05626473917249797
1.675,0.054188977109582294,-0.00013374804390040986,-0.054188977108441394
1.685,0.05219931589802342,-0.0001230922736067742,-0.052199315896225285
1.695,0.05029145668897228,-0.00011298239071191467,-0.05029145668963397
1.705,0.04846134769239821,-0.00010346765597283877,-0.04846134769270427
1.715,0.04670517458962488,-9.457412304496122e-5,-0.04670517459051449
1.725,0.04501934940659042,-8.630934532188433e-5,-0.04501934940523422
1.735,0.043400498379748166,-7.866653048539856e-5,-0.04340049838126414
1.745,0.04184544938587748,-7.16280689509759e-5,-0.041845449385931044
1.7550000000000001,0.040351219213374104,-6.516856344760553e-5,-0.04035121921258433
1.7650000000000001,0.03891500107531366,-5.9257295631883034e-5,-0.03891500107356616
1.7750000000000001,0.037534152492306204,-5.386026048508018e-5,-0.0375341524926176
1.7850000000000001,0.03620618375421624,-4.8941759395219e-5,-0.036206183751174015
1.795,0.03492874698453871,-4.4465677472960254e-5,-0.034928746984640435
1.805,0.03369962597749652,-4.039638640731417e-5,-0.033699625975015524
1.815,0.03251672666921103,-3.669947455613338e-5,-0.032516726668481155
1.825,0.031378068412935424,-3.334218462789743e-5,-0.031378068409676496
1.835,0.03028177587869519,-3.0293752170054383e-5,-0.030281775878542305
1.845,0.029226071691051136,-2.7525541022812652e-5,-0.029226071687842303
1.855,0.02820926961121613,-2.501115252728029e-5,-0.028209269607575305
1.865,0.02722976837173465,-2.2726387555315333e-5,-0.027229768369254614
1.875,0.02628604600283746,-2.064919410065727e-5,-0.026286046000930652
1.885,0.025376654656047534,-1.8759565076325112e-5,-0.025376654654684083
1.895,0.02450021587720874,-1.7039406313201177e-5,-0.02450021587430684
1.905,0.023655416262102703,-1.5472408089429213e-5,-0.02365541625872769
1.915,0.022841003493310242,-1.4043889848194095e-5,-0.022841003490222667
1.925,0.022055782687580232,-1.2740660137572727e-5,-0.02205578268709929
1.935,0.021298613050735965,-1.155086578447349e-5,-0.02129861304837055
1.945,0.02056840476208681,-1.0463880704502549e-5,-0.02056840476194588
1.955,0.01986411615108844,-9.47014963515374e-6,-0.019864116147818578
1.965,0.019184751015773775,-8.561110878985326e-6,-0.01918475101507
1.975,0.018529356209261,-7.729055694396914e-6,-0.018529356209051606
1.985,0.017897019336649438,-6.967058629465929e-6,-0.017897019335862963
1.995,0.017286866645041483,-6.268883188236125e-6,-0.017286866643202448
2.005,0.016698061043271054,-5.6289098230045665e-6,-0.01669806104081295
2.015,0.016129800255805612,-5.042067468057002e-6,-0.016129800253898985
2.025,0.015581315098512634,-4.5037699189024834e-6,-0.015581315096195869
2.035,0.015051867850799826,-4.009871245274928e-6,-0.015051867848463463
2.045,0.014540750742171088,-3.5566122998161457e-6,-0.014540750739329145
2.055,0.014047284517216051,-3.1405859001108852e-6,-0.014047284516756076
2.065,0.013570817104181055,-2.7586880172691206e-6,-0.013570817101806742
2.075,0.013110722327070726,-2.408106007084341e-6,-0.013110722324195523
2.085,0.012666398731245853,-2.0862709410990124e-6,-0.012666398727891881
2.095,0.01223726844270061,-1.7908452622375213e-6,-0.012237268442315541
2.105,0.01182277611728636,-1.5196858794483461e-6,-0.011822776114975841
2.115,0.011422387909860833,-1.2708461482160532e-6,-0.011422387905297704
2.125,0.011035590533887973,-1.042544857822442e-6,-0.011035590531635053
2.1350000000000002,0.010661890367498848,-8.331408781947075e-7,-0.010661890366102655
2.145,0.010300812579388419,-6.411350899164487e-7,-0.010300812576203855
2.1550000000000002,0.00995190031356979,-4.6515927885390555e-7,-0.009951900310174455
2.165,0.009614713929107229,-3.039528209729921e-7,-0.00961471392604829
2.1750000000000003,0.00928883025894965,-1.5635961566024523e-7,-0.009288830257571101
2.185,0.008973841917251944,-2.1313795568742998e-8,-0.008973841914735603
2.195,0.008669356624072536,1.0215789865051967e-7,-0.0086693566214735
2.205,0.008374996586412494,2.149563211106264e-7,-0.008374996584408212
2.215,0.008090397890926767,3.1791154589599543e-7,-0.008090397887416945
2.225,0.007815209921030509,4.1178056669587376e-7,-0.00781520991837592
