r,tau,v
2.45,0.2,0.0015058384136826812
2.46,0.2,0.0014654823175451503
2.47,0.2,0.0014265860544375752
2.48,0.2,0.0013891053675723962
2.49,0.2,0.0013529976677694928
2.5,0.2,0.0013182219791543109
2.5100000000000002,0.2,0.0012847388869868558
2.52,0.2,0.0012525104875551123
2.5300000000000002,0.2,0.001221500340050715
2.54,0.2,0.001191673420357094
2.5500000000000003,0.2,0.001162996076678666
2.56,0.2,0.0011354359869640543
2.57,0.2,0.0011089621180473456
2.58,0.2,0.0010835446864587053
2.59,0.2,0.001059155120852706
2.6,0.2,0.0010357660260072832
2.61,0.2,0.0010133511483536594
2.62,0.2,0.0009918853430016812
2.63,0.2,0.0009713445422189822
2.64,0.2,0.0009517057253444099
2.65,0.2,0.00093294689012132
2.66,0.2,0.0009150470254155573
2.67,0.2,0.0008979860853026103
2.68,0.2,0.0008817449644832386
2.69,0.2,0.000866305474986072
2.7,0.2,0.0008516503240480618
2.71,0.2,0.0008377630930147332
2.72,0.2,0.0008246282169559774
2.73,0.2,0.0008122309645272877
2.74,0.2,0.0008005574173127266
2.75,0.2,0.0007895944474494243
2.7600000000000002,0.2,0.0007793296917151431
2.77,0.2,0.0007697515193659921
2.7800000000000002,0.2,0.000760848989768505
2.79,0.2,0.0007526117941650646
2.8000000000000003,0.2,0.0007450301736208422
2.81,0.2,0.000738094802206898
2.82,0.2,0.0007317966206682522
2.83,0.2,0.0007261266011293405
2.84,0.2,0.0007210754178604795
2.85,0.2,0.0007166329930495438
2.86,0.2,0.0007127878804341352
2.87,0.2,0.0007095264449028879
2.88,0.2,0.0007068317948011542
2.89,0.2,0.0007046824294561091
2.9,0.2,0.0007030505831635587
2.91,0.2,0.0007019002876491639
2.92,0.2,0.0007011852516345464
2.93,0.2,0.0007008467888919142
2.94,0.2,0.0007008122443856813
2.95,0.2,0.0007009947134766507
2.96,0.2,0.0007012953793547826
2.97,0.2,0.000701610587585766
2.98,0.2,0.000701846938594382
2.99,0.2,0.0007019493451976429
3.0,0.2,0.0007019493451976429
0.0,0.3,0.0
0.01,0.3,0.0046251949500315075
0.02,0.3,0.009248208068031621
0.03,0.3,0.013866420724526228
0.04,0.3,0.018477334163006898
0.05,0.3,0.023078465903177355
0.06,0.3,0.027667337540184158
0.07,0.3,0.03224147189452986
0.08,0.3,0.03679839239901708
0.09,0.3,0.04133562319741664
0.1,0.3,0.04585068949812483
0.11,0.3,0.05034111802262053
0.12,0.3,0.05480443748961074
0.13,0.3,0.059238179114655884
0.14,0.3,0.06363987712107431
0.15,0.3,0.06800706926462123
0.16,0.3,0.07233729737715332
0.17,0.3,0.07662810793542946
0.18,0.3,0.08087705266134251
0.19,0.3,0.08508168915971519
0.2,0.3,0.0892395815995194
0.21,0.3,0.09334830144407898
0.22,0.3,0.09740542823556514
0.23,0.3,0.10140855043888708
0.24,0.3,0.10535526634989942
0.25,0.3,0.10924318507275177
