r,P,v
1.77,1.003776481925684,0.013078703472043306
1.78,1.0036351972803124,0.012636760991831511
1.79,1.0034996250484425,0.01221053868548839
1.8,1.0033694905190111,0.011799441949060019
1.81,1.0032445357634534,0.011402901322776325
1.82,1.003124518393822,0.011020371225813945
1.83,1.0030092104044483,0.01065132876714564
1.84,1.0028983970976884,0.01029527262834385
1.85,1.0027918760923975,0.009951722014032537
1.86,1.0026894564131619,0.009620215665704817
1.87,1.002590957655675,0.009300310934664172
1.8800000000000001,1.0024962092228369,0.00899158291002631
1.8900000000000001,1.0024050496287527,0.008693623597903
1.9000000000000001,1.0023173258614073,0.008406041148112131
1.9100000000000001,1.0022328928020163,0.008128459125004268
1.92,1.0021516126946055,0.00786051581922766
1.93,1.0020733546613787,0.007601863597503649
1.94,1.0019979942592008,0.007352168287713383
1.95,1.0019254130733657,0.007111108596826738
1.96,1.001855498344703,0.006878375559389875
1.97,1.001788142626745,0.006653672014511247
1.98,1.0017232434700643,0.006436712109425311
1.99,1.0016607031313944,0.006227220827911022
2.0,1.0016004283044198,0.006024933541964155
2.0100000000000002,1.0015423298701789,0.005829595585264752
2.02,1.0014863226664172,0.005640961847098853
2.0300000000000002,1.0014323252726083,0.005458796385501548
2.04,1.0013802598098092,0.005282872058492403
2.05,1.0013300517547434,0.005112970172352439
2.06,1.0012816297653269,0.004948880145979496
2.07,1.0012349255180868,0.004790399190423894
2.08,1.0011898735559706,0.004637332002784135
2.09,1.0011464111454895,0.00448949047367978
2.1,1.0011044781424192,0.004346693407593368
2.11,1.0010640168657785,0.004208766255406707
2.12,1.0010249719795894,0.0040755408585172745
2.13,1.0009872903813584,0.003946855203939274
2.14,1.0009509210966705,0.003822553189842863
2.15,1.0009158151797841,0.0037024844010304547
2.16,1.0008819256197827,0.0035865038938630604
2.17,1.000849207252505,0.003474471990177493
2.18,1.0008176166761975,0.0033662540797741464
2.19,1.0007871121724465,0.0032617204310719313
2.2,1.0007576536310545,0.0031607460095561587
2.21,1.0007292024790284,0.0030632103036540965
2.22,1.0007017216120686,0.0029689971577070732
2.23,1.000675175331392,0.002877994611720442
2.24,1.0006495292821664,0.0027900947475814333
2.25,1.0006247503958892,0.0027051935414680005
2.2600000000000002,1.000600806835268,0.002623190722169311
2.27,1.0005776679414895,0.002543989635069167
2.2800000000000002,1.0005553041844888,0.0024674971115431015
2.29,1.0005336871154418,0.0023936233435369113
2.3000000000000003,1.000512789321202,0.002322281763111203
2.31,1.00049258438146,0.0022533889267374336
2.32,1.0004730468267369,0.0021868644041476053
2.33,1.0004541520997656,0.0021226306715541594
2.34,1.0004358765177641,0.0020606130090506923
2.35,1.0004181972362611,0.0020007394020296566
2.36,1.0004010922148694,0.0019429404464460177
2.37,1.000384540184112,0.0018871492577870095
2.38,1.0003685206145856,0.0018333013835835083
2.39,1.0003530136861205,0.0017813347193245683
