fn,L,rho0,kd,ap,nu1,gamma,kp,zetatot,zetap,zetap2,zetarho,M,seed,dx,dtmax,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
38,10.0,0.5,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,300.0,0.032556574939619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,10.0,0.6,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,302.0,0.05372447189509355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,10.0,0.7,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,276.0,0.06151273557615644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,10.0,0.8,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,236.0,0.050557996060675015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,10.0,0.9,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,68.0,0.039537875458586336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,10.0,1.0,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.031015951162443933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,10.0,1.1,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.2878587085651816e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,10.0,1.2,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.9984014443252818e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,10.0,1.3,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-1.5543122344752192e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,10.0,1.4,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,2.6645352591003757e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,10.0,1.5,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,2.220446049250313e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,10.0,1.0,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,30.0,0.028300840634962632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,10.0,1.1,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.02355955507847285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,10.0,1.2,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,2.220446049250313e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,10.0,1.3,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-1.5543122344752192e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,10.0,1.4,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.7763568394002505e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,10.0,1.5,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,4.440892098500626e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,10.0,1.0,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,46.0,0.026066465274282136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
