x,y,q,w,a,s
2.0,6.0,1.3012151680004196e-5,0.00022959037256273937,0.7828947368421052,0.00022959037256273937
1.0,6.0,5.643141569527033e-6,0.0002652781618325194,0.8223684210526315,0.0002652781618325194
10.0,7.0,0.00016549387657282267,0.0,0.0,0.0
9.0,7.0,0.0006195557394224382,0.0,0.0,0.0
8.0,7.0,1.0,0.0,0.0,0.0
7.0,7.0,2.7591022528284983e-6,2.103076908487311e-5,0.02631578947368421,2.103076908487311e-5
6.0,7.0,5.050581682626683e-6,0.000520194691820996,0.09868421052631579,0.000520194691820996
5.0,7.0,7.579527924023163e-6,0.00027377045577915753,0.1513157894736842,0.00027377045577915753
4.0,7.0,5.46383031406358e-6,0.00024555650086753226,0.23026315789473684,0.00024555650086753226
3.0,7.0,7.716725042670647e-6,0.0003829537899036475,0.5460526315789475,0.0003829537899036475
2.0,7.0,5.060804556260703e-5,0.00016856572578362355,0.7500000000000001,0.00016856572578362355
1.0,7.0,1.152127537943916e-5,0.00016384220954620643,0.7894736842105263,0.00016384220954620643
10.0,8.0,0.0021932724559882506,0.0,0.0,0.0
9.0,8.0,0.0005370965132518112,0.0,0.0,0.0
8.0,8.0,0.00016787264660143983,0.0,0.0,0.0
7.0,8.0,4.368419391552689e-5,0.0,0.0,0.0
6.0,8.0,3.095084663797552e-6,2.932984962908669e-5,0.02631578947368421,2.932984962908669e-5
5.0,8.0,3.4786607938217213e-6,3.410597773477397e-5,0.02631578947368421,3.410597773477397e-5
4.0,8.0,9.922032812760539e-6,3.1951063596037995e-5,0.05263157894736842,3.1951063596037995e-5
3.0,8.0,7.299044195032517e-6,0.0001852008911504754,0.25,0.0001852008911504754
2.0,8.0,3.0645819290791136e-5,0.00016003743860027448,0.6644736842105263,0.00016003743860027448
1.0,8.0,0.0001867230665742102,0.00015712695193195113,0.7500000000000001,0.00015712695193195113
10.0,9.0,0.004567193116497412,0.0,0.0,0.0
9.0,9.0,0.005876073865786041,0.0,0.0,0.0
8.0,9.0,0.000666060598203374,0.0,0.0,0.0
7.0,9.0,0.007628725655480359,0.0,0.0,0.0
6.0,9.0,0.0005116106500607139,0.0,0.0,0.0
5.0,9.0,2.629146902790007e-6,0.000930054383588989,0.013157894736842105,0.000930054383588989
4.0,9.0,9.165880455025128e-7,2.6520575885731883e-5,0.013157894736842105,2.6520575885731883e-5
3.0,9.0,2.125955560514904e-6,0.0004452698057088047,0.08552631578947369,0.0004452698057088047
2.0,9.0,1.6168206056451045e-6,0.0003078958536666712,0.4276315789473684,0.0003078958536666712
1.0,9.0,5.747719828098261e-6,0.00021731954254774395,0.7105263157894737,0.00021731954254774395
10.0,10.0,0.011200318460532854,0.0,0.0,0.0
9.0,10.0,0.0034423474640264545,0.0,0.0,0.0
8.0,10.0,0.009293071863764357,0.0,0.0,0.0
7.0,10.0,0.006063770225560979,0.0,0.0,0.0
6.0,10.0,0.008720891472170072,0.0,0.0,0.0
5.0,10.0,0.004091767175845277,0.0,0.0,0.0
4.0,10.0,0.0033287411903367677,0.0,0.0,0.0
3.0,10.0,3.864664682367242e-6,4.413290594346493e-5,0.02631578947368421,4.413290594346493e-5
2.0,10.0,1.9558925074969597e-5,0.00015268691817002143,0.21710526315789472,0.00015268691817002143
1.0,10.0,4.189512626361214e-6,0.00027107489886434943,0.5460526315789475,0.00027107489886434943
10.0,11.0,0.004901620125523861,0.0,0.0,0.0
9.0,11.0,0.003196663746643383,0.0,0.0,0.0
8.0,11.0,0.0017576217365802619,0.0,0.0,0.0
7.0,11.0,0.0030021352778963105,0.0,0.0,0.0
6.0,11.0,0.0009404508344775192,0.0,0.0,0.0
5.0,11.0,0.020564947238190176,0.0,0.0,0.0
4.0,11.0,0.004579534541904318,0.0,0.0,0.0
3.0,11.0,0.0038848731375747394,0.0,0.0,0.0
2.0,11.0,5.18454543708442e-6,0.0003121169660440532,0.09210526315789473,0.0003121169660440532
1.0,11.0,2.8905323485935907e-6,0.0004443133359150848,0.3618421052631579,0.0004443133359150848
10.0,12.0,1.2391556869562798e-6,0.0,0.0,0.0
9.0,12.0,0.0004964965545913521,0.0,0.0,0.0
8.0,12.0,6.579639448616191e-5,0.0,0.0,0.0
7.0,12.0,0.0005662082003937752,0.0,0.0,0.0
6.0,12.0,6.0533563658870454e-6,0.0,0.0,0.0
5.0,12.0,2.981959323040524e-6,0.0,0.0,0.0
4.0,12.0,4.1693696943313765e-5,0.0,0.0,0.0
3.0,12.0,2.0886004613330306e-6,0.0,0.0,0.0
2.0,12.0,5.566206185905125e-6,3.71933230170664e-5,0.02631578947368421,3.71933230170664e-5
1.0,12.0,1.809356821909822e-5,9.69847824135963e-5,0.19736842105263158,9.69847824135963e-5
