fn,rho0,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,kd,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
1214,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,0.18239460544706926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1215,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,0.24759028550609508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1216,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,0.3287978116124898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1217,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,0.4153400703408109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1218,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,12.0,0.05414589863840602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1219,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,1.1566111818295255e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1220,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,4.7214312237642275e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1221,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,1.0444312081858698e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1222,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,3.5452751845355124e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1223,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,2.3936408410918375e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1224,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,0.1,0.0,-6.661338147750939e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1225,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,0.1412906629143798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1226,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,0.21261175121319043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1227,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,0.28846527251810933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1228,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,0.3737211648183351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1229,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,0.4379809128900674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1230,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,4.0,0.03869361268374705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1231,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,2.0,0.025000959735242412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1232,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,2.014270084060854e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1233,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,2.0,0.014747014265932279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1234,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,7.62381269225898e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1235,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,1.7917394234956419e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1236,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,0.1,0.0,2.9428813386189745e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1237,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,0.17467060122794753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1238,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,0.2572681616191049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1239,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,0.3179017640415897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1240,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,0.4028816443298337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1241,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,96.0,0.11215998452548914,8.548651494255457,0.488798785326434,0.5886246793217937,0.3968415595585688,0.5051253348817581,0.5055305022271287,-0.009045821294169669,0.023201988254931603,0.0050120605757714804,0.05329427564958849,0.046927350034115266
1242,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,6.0,0.030124465966367864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1243,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,4.0,0.019143090799651596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
