x,y,q,w,a,s
2.0,3.0,143.5668345387977,0.000851398093445729,3.04,0.000851398093445729
1.0,3.0,141.44460636847046,0.001152955247202742,2.8,0.001152955247202742
10.0,4.0,0.08539819620278183,0.9066780413753845,0.0,0.9066780413753845
9.0,4.0,0.029539315552868595,0.7388909135018512,0.0,0.7388909135018512
8.0,4.0,12.03615187721799,0.7373033341317121,0.27,0.7373033341317121
7.0,4.0,161.87756863404206,0.005046401977365464,2.7600000000000002,0.005046401977365464
6.0,4.0,53.89067390697641,0.002538657676400169,2.7600000000000002,0.002538657676400169
5.0,4.0,85.6136629454896,0.0028307999429147256,2.7800000000000002,0.0028307999429147256
4.0,4.0,137.5823626923003,0.002010905925077017,2.8,0.002010905925077017
3.0,4.0,119.1508659256487,0.0011045663301771178,2.9,0.0011045663301771178
2.0,4.0,171.25806765502696,0.0009769063591654888,2.7199999999999998,0.0009769063591654888
1.0,4.0,138.52435759148494,0.0012914683263486105,2.7399999999999998,0.0012914683263486105
10.0,5.0,0.07111440995983741,0.9924638594609793,0.0,0.9924638594609793
9.0,5.0,0.8834086413919886,0.6890582737183483,0.0,0.6890582737183483
8.0,5.0,158.71026050674695,0.002523137516509188,2.2399999999999998,0.002523137516509188
7.0,5.0,263.1371977985272,0.0031395079879770332,2.3600000000000003,0.0031395079879770332
6.0,5.0,102.41469337897291,0.0019224708183589476,2.3600000000000003,0.0019224708183589476
5.0,5.0,69.50489426986032,0.0016343376938091326,2.7399999999999998,0.0016343376938091326
4.0,5.0,57.81186495456955,0.001790145312981194,2.54,0.001790145312981194
3.0,5.0,63.44868017947875,0.0018530534101577482,2.5,0.0018530534101577482
2.0,5.0,169.79335685567082,0.0015547862903483106,2.66,0.0015547862903483106
1.0,5.0,91.81935701652978,0.001246381600556629,2.42,0.001246381600556629
10.0,6.0,1.07219781889604e7,0.0,0.0,0.0
9.0,6.0,64.9127015903775,0.0021593173724933344,0.06,0.0021593173724933344
8.0,6.0,30.566325531085788,0.0019868059415711356,0.13999999999999999,0.0019868059415711356
7.0,6.0,162.77114839801393,0.0015422855586980024,0.6799999999999999,0.0015422855586980024
6.0,6.0,40.672655283748924,0.0017594479394948941,1.26,0.0017594479394948941
5.0,6.0,30.055697286787275,0.0019894928675163906,1.58,0.0019894928675163906
4.0,6.0,26.830121785031352,0.0009984152774162433,2.02,0.0009984152774162433
3.0,6.0,62.632542703371364,0.0013712075397203072,2.2,0.0013712075397203072
2.0,6.0,139.57440958874477,0.0012742855939616047,2.38,0.0012742855939616047
1.0,6.0,60.53096921724356,0.0014723619995146776,2.5,0.0014723619995146776
10.0,7.0,1775.164529376042,0.0,0.0,0.0
9.0,7.0,6645.643907616756,0.0,0.0,0.0
8.0,7.0,1.0726466538445681e7,0.0,0.0,0.0
7.0,7.0,29.595417991114985,0.0001167261752992868,0.08,0.0001167261752992868
6.0,7.0,54.1748954183818,0.002887214278384647,0.3,0.002887214278384647
5.0,7.0,81.30155265424912,0.0015194964142337926,0.45999999999999996,0.0015194964142337926
4.0,7.0,58.60759303554814,0.0013629017108442083,0.7,0.0013629017108442083
3.0,7.0,82.77319295659252,0.0021254919889720767,1.6600000000000001,0.0021254919889720767
2.0,7.0,542.8455073034388,0.000935583115285271,2.2800000000000002,0.000935583115285271
1.0,7.0,123.58257483777221,0.0009093663857813388,2.4,0.0009093663857813388
10.0,8.0,23526.06360885255,0.0,0.0,0.0
9.0,8.0,5761.1477773114,0.0,0.0,0.0
8.0,8.0,1800.6803264906614,0.0,0.0,0.0
7.0,8.0,468.5770442938716,0.0,0.0,0.0
6.0,8.0,33.199322079880844,0.00016278820596099715,0.08,0.00016278820596099715
5.0,8.0,37.31373860353158,0.00018929694486000863,0.08,0.00018929694486000863
4.0,8.0,106.428352959436,0.00017733661737517453,0.16,0.00017733661737517453
3.0,8.0,78.29295332065249,0.0010279125598675156,0.76,0.0010279125598675156
2.0,8.0,328.72135516592425,0.0008882489288487758,2.02,0.0008882489288487758
1.0,8.0,2002.878725564231,0.0008720949795717944,2.2800000000000002,0.0008720949795717944
10.0,9.0,48989.84413872894,0.0,0.0,0.0
9.0,9.0,63029.50969878913,0.0,0.0,0.0
8.0,9.0,7144.476719205605,0.0,0.0,0.0
7.0,9.0,81829.27047449216,0.0,0.0,0.0
6.0,9.0,5487.7745185886915,0.0,0.0,0.0
5.0,9.0,28.20145627743511,0.005162040940041707,0.04,0.005162040940041707
4.0,9.0,9.831750999622031,0.00014719601443879656,0.04,0.00014719601443879656
3.0,9.0,22.80399118208565,0.0024713618977457814,0.26,0.0024713618977457814
2.0,9.0,17.342772125121694,0.0017089011459343055,1.3,0.0017089011459343055
1.0,9.0,61.65272440845676,0.0012061793326252877,2.16,0.0012061793326252877
10.0,10.0,120139.8411868411,0.0,0.0,0.0
9.0,10.0,36924.22488658311,0.0,0.0,0.0
8.0,10.0,99681.82438603941,0.0,0.0,0.0
7.0,10.0,65042.828421303064,0.0,0.0,0.0
6.0,10.0,93544.35056164856,0.0,0.0,0.0
5.0,10.0,43890.20369481475,0.0,0.0,0.0
4.0,10.0,35705.63099329318,0.0,0.0,0.0
3.0,10.0,41.45419639772503,0.0002449489742783178,0.08,0.0002449489742783178
2.0,10.0,209.7981553446276,0.0008474516506883758,0.6599999999999999,0.0008474516506883758
1.0,10.0,44.938666999059244,0.0015045353803459064,1.6600000000000001,0.0015045353803459064
10.0,11.0,52577.06426060362,0.0,0.0,0.0
